TotalPop,Hispanic,White,Black,Asian,Income,Poverty,WorkAtHome,Employed,SelfEmployed,FamilyWork,Unemployment,State_frequency
2276.857,17.81638,73.8974,3.4998,0.79366994,34980.504,12.798254,0.34474528,1091.5028,-0.001612635,-0.007456231,1.5995545,12.35377
3898.1736,39.661438,51.568638,4.274503,1.2498939,38512.12,21.395594,1.1122564,1477.1035,2.316563,0.010038105,7.7216253,12.660289
4635.358,68.8755,23.303205,5.591451,0.8099916,34626.01,24.39046,1.9327177,1658.8324,3.7218673,0.007750777,10.820639,12.558861
4481.2466,19.648436,65.12099,3.8387187,9.615502,113537.234,9.086718,6.775243,2144.2576,6.396989,0.039388265,4.1237407,12.89456
2481.1052,3.053499,87.52017,6.0531645,0.46319315,75901.45,8.028909,6.460663,1201.0585,4.389571,-0.006441402,6.1991487,11.75092
4741.412,72.253235,20.059275,5.3718143,0.75936174,34457.91,24.593004,1.993286,1677.4949,3.7769773,0.003014294,10.929988,12.584122
2259.087,17.930737,73.69423,3.0259154,0.84579134,34639.027,12.443265,0.3068663,1070.8057,-0.014220687,-0.015235963,1.400116,12.38268
2349.363,7.1602287,86.687,4.528189,1.3197534,48495.074,11.85345,0.84530604,999.6742,4.818857,-0.001169565,1.9584756,12.0259695
2115.2134,6.9086494,85.85224,4.0504518,2.0294263,103743.39,6.560426,8.7103,1058.4614,6.4859886,-0.002830478,7.7418876,12.2408285
2353.907,16.702284,74.76046,3.7117188,1.0037854,37341.957,12.658201,0.55836594,1109.8413,0.6319246,0.00106096,1.7146974,12.268204
4664.7954,52.707092,38.374733,4.5908036,1.0379138,38360.88,26.379686,1.1186603,1626.5531,2.9253874,0.002193463,10.550945,12.956388
4625.962,52.86514,38.52744,4.4770665,1.0627806,38239.668,26.265747,1.2087303,1626.7437,2.9439085,0.004973766,10.597989,12.957436
2151.9526,7.172453,85.74884,3.8364604,1.9719946,103219.03,6.474625,8.614682,1062.4485,6.426253,-0.006876531,7.6938624,12.232196
