,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,WorkAtHome,Employed,SelfEmployed,FamilyWork,Unemployment,State_frequency
0,4408.516,16.204025,63.83187,12.946156,5.1738696,63625.215,15.1684,4.715783,2076.3489,6.106438,0.1459635,6.7975426,11.137635
1,4366.841,18.452497,58.386547,15.477031,4.5087047,57364.05,16.51386,4.4037848,1962.4291,5.996903,0.13104819,7.854004,10.964876
2,4515.7075,19.248026,60.852314,13.015345,5.6315866,66227.49,15.257501,5.082976,2088.3613,6.1052666,0.1430588,7.1166587,11.070412
3,4632.1187,22.621231,55.685287,14.549633,4.536499,60694.83,16.543835,4.855752,2030.6321,6.4441137,0.14171869,7.9292746,11.0385475
4,4481.776,18.36008,61.52977,13.162933,4.96137,65427.633,14.92799,5.1770544,2027.2667,6.356439,0.1434347,7.247696,11.123566
5,4363.016,19.14681,56.64517,15.375035,4.648119,58366.395,16.575148,4.5690656,1971.9796,6.2251463,0.13568282,7.9330297,10.994314
6,4472.492,16.97278,64.12253,12.119917,5.026552,67903.12,14.401224,4.91505,2226.7024,6.3967023,0.1839821,6.204779,11.266192
7,4389.983,19.09209,56.74672,16.137596,4.4410257,56328.945,16.985657,4.421303,1914.2816,6.0628023,0.13507718,8.14625,10.894902
8,4333.708,17.379137,63.093067,12.746924,6.0504484,67643.65,14.984538,5.1576953,2018.4214,6.0374327,0.15198222,6.874566,11.075367
9,4386.7607,18.281828,58.738712,15.052536,4.276677,57461.72,16.594885,4.4503703,1959.8973,6.114482,0.13457006,7.8316164,10.977571
10,4690.899,16.1436,66.27403,11.254232,6.533278,73369.05,14.126099,5.6775875,2273.523,6.140198,0.17676489,6.183591,11.270207
11,4317.646,15.77327,62.57615,13.679462,4.4421644,59222.598,15.568269,4.509742,2025.1353,6.2092857,0.147045,7.191471,11.07478
12,4477.7026,17.220285,61.84512,13.72734,4.485912,59661.715,15.942751,4.5744457,2091.0264,6.1926594,0.14605667,7.2930436,11.051794
13,4331.349,18.5798,57.477962,15.803483,4.3993893,56683.168,16.790575,4.3915954,1925.034,6.0562105,0.13828154,7.952702,10.947354
14,4408.6616,16.37878,62.804276,13.443774,4.631151,59914.492,15.614493,4.6849275,2022.6527,6.015173,0.13317885,7.3635645,11.05096
15,4308.7227,16.261915,61.803432,14.500302,4.473227,58558.723,15.935702,4.468532,1961.5726,6.0416794,0.13067679,7.4055014,11.02185
16,4429.1016,16.03777,65.62429,11.837274,5.5502896,67838.18,14.709192,5.184146,2117.483,6.295708,0.15871468,6.6928096,11.158048
17,4392.7725,23.524662,50.33317,18.57651,4.3040824,56198.246,18.349527,4.3256016,1814.0227,6.260265,0.15045874,8.7941265,10.818083
18,4617.7,19.864449,62.416836,12.19499,6.5936747,73955.625,14.254751,5.9240313,2119.3496,6.4734945,0.16989125,6.7875276,11.18382
19,4418.9155,16.0864,64.68832,12.498588,5.2954426,65395.094,14.838899,4.81239,2140.8264,6.1234164,0.15461466,6.5398,11.198167
20,4388.9478,17.829435,58.56126,15.408129,4.352099,56001.023,16.666645,4.3857236,1936.7456,5.929179,0.12843841,7.961761,10.93304
21,4429.2993,15.806654,64.7988,12.918289,5.762422,65962.74,15.082696,5.074556,2071.934,5.8985424,0.14574827,6.83588,11.068717
22,4410.254,20.433296,55.58131,16.396399,4.19055,56078.047,17.303877,4.413843,1924.8044,6.0007176,0.14667699,8.132769,10.9201975
23,4293.44,17.83223,59.222603,14.45658,4.566145,58499.176,16.095343,4.522215,1964.199,6.091114,0.13720642,7.5713253,11.012181
24,4526.329,17.104036,63.272926,12.787401,4.7605486,69080.89,14.466412,4.829859,2267.4053,6.3999724,0.19734311,6.013182,11.384667
25,4388.7417,16.780535,63.87991,12.363945,5.513191,66078.13,14.778432,4.93279,2096.7205,6.113042,0.14365587,6.6798573,11.19403
26,4340.2256,15.472393,63.701504,13.327147,4.722311,61508.934,15.418532,4.560727,2029.662,6.1684504,0.14670607,7.059582,11.085989
27,4623.9287,16.635063,62.030476,14.003968,4.0358567,65261.453,15.051007,4.7416058,2216.9844,6.6635957,0.22201236,6.291544,11.209754
28,4387.4414,20.107025,55.664803,15.968503,4.1601624,56230.78,17.342125,4.2790694,1907.964,6.1158977,0.14581001,8.16707,10.918077
29,4303.701,19.929102,55.300903,16.243177,4.3002934,56674.242,17.133406,4.2742414,1871.6499,6.164515,0.15021883,8.286694,10.854591
30,4332.072,18.23519,57.35811,16.171432,4.0345926,56635.72,16.695692,4.3732204,1906.1521,6.0303297,0.1402398,8.108106,10.922249
31,4460.2344,16.931639,62.410213,13.275425,4.5587544,63030.52,15.232998,4.5634685,2165.4507,6.3511567,0.16722181,6.6142273,11.196982
32,4392.6016,17.13222,61.12648,13.355863,5.2057786,64531.55,15.0573225,4.658317,2165.9988,6.3845415,0.18460272,6.352839,11.277524
33,4381.7915,18.651636,56.931767,16.276524,4.3769107,56430.63,16.85324,4.457579,1939.6034,6.06819,0.13957408,7.9695005,10.960827
34,4414.427,15.40078,63.66896,13.00483,4.8495297,62009.95,15.393658,4.648147,2066.8533,6.3292766,0.1551618,7.004783,11.104481
35,4520.8857,16.051184,65.16071,12.269372,5.722344,69478.09,14.3205385,5.0658603,2233.017,6.165484,0.1834873,6.221678,11.233645
36,4449.9146,16.925095,62.61963,12.955146,4.2387815,63191.074,15.279229,4.5229025,2162.8376,6.575954,0.20463808,6.55843,11.183674
