,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,WorkAtHome,Employed,SelfEmployed,FamilyWork,Unemployment,State_frequency
0,4511.9863,15.671135,64.67341,12.088782,4.293757,63779.035,15.023104,5.2880316,2144.1362,5.9122763,0.15375698,6.6756277,11.007099
1,4709.2725,22.012877,56.396305,13.823915,4.3141017,58350.91,18.049341,4.5085983,2190.6997,5.974147,0.1538939,7.202953,11.190312
2,4223.9395,16.196936,62.979424,12.334189,4.9973683,63417.266,15.206264,4.4500027,1974.8226,6.0506034,0.15379067,7.06097,11.003538
3,4525.2725,15.8557625,64.56281,11.931181,4.2722898,58231.21,17.231194,4.7047973,2097.1353,6.5500674,0.15399584,6.921586,10.992027
4,4424.1885,18.738827,60.42286,12.089634,5.2568717,62326.914,15.178947,4.512464,2104.3105,5.918334,0.15401843,6.9907293,11.2304125
5,4368.341,17.374823,62.61073,12.216998,4.320156,68447.74,14.935287,5.139464,2074.322,5.960632,0.15405032,6.496284,11.200113
6,4286.005,16.562763,63.64284,11.936423,4.435194,61505.19,15.372187,4.45923,2037.6991,6.014219,0.15402007,7.2546854,11.013421
7,4189.9624,16.096972,63.671127,12.40563,4.343338,63595.613,15.106204,5.4159803,1957.0083,6.4086857,0.1538106,6.9504366,10.989703
8,4310.335,16.302631,63.77068,11.890127,4.427051,71550.73,14.668525,4.838126,2041.7109,6.2725325,0.15388092,6.700389,11.212435
9,4722.333,17.663298,61.067112,12.6917515,4.9317555,66236.2,15.03944,4.8017306,2239.283,5.995562,0.15377575,6.854604,11.020886
10,4441.638,15.640443,64.52677,11.94596,4.413758,65565.28,14.829541,5.09375,2114.796,5.9596105,0.15390451,6.808525,11.148375
11,4365.7427,16.338701,62.954292,12.894483,4.388868,59558.574,15.368695,4.1951203,2040.3851,5.6688237,0.15391313,7.4275675,10.927398
12,4215.484,15.803753,64.295876,12.054505,4.529877,60941.92,15.835449,4.244126,1981.4072,5.781036,0.15399493,7.358783,11.1082
13,4502.1377,17.76398,61.332935,13.251604,4.3669577,59894.36,17.004997,4.3474402,2071.8052,5.8707013,0.15399943,7.4469852,10.994876
14,4363.19,16.01515,64.32046,12.052506,4.32024,59678.023,16.659262,4.4540834,2026.4791,5.8247213,0.15395841,7.1007943,11.0615835
15,4457.0254,15.834974,63.037693,13.561173,4.3892903,65913.766,14.840739,5.0244412,2097.2903,6.430679,0.15411763,6.9521112,11.032731
16,4350.2803,15.801782,64.7411,11.875731,4.282139,59705.2,15.8928795,4.5250416,2011.1396,6.203593,0.15394184,7.0197005,10.834765
17,4131.1665,16.62181,57.423008,18.041891,4.330812,58287.195,16.828796,4.3308835,1944.0497,5.9661584,0.15394738,7.159506,11.177626
18,4214.1255,16.59101,63.52748,11.838213,4.4267178,64944.035,15.2333,4.909771,1981.9086,6.3863235,0.15372016,6.7628894,10.895432
19,4250.4336,15.758994,60.76362,15.719346,4.319108,58924.547,16.540897,4.5007095,1968.5093,6.3430843,0.15389839,7.188138,11.093159
20,4562.285,15.870241,62.572067,12.1380825,5.8590093,67932.72,14.707044,5.1267085,2169.5085,5.9656987,0.1539533,6.857973,11.09548
21,4371.5386,16.735094,60.24201,12.135156,7.5664735,67124.664,15.317022,4.957543,2065.949,6.1262417,0.15423097,7.1542435,11.044821
22,4392.3037,16.072166,63.728695,12.18839,4.624138,64107.47,14.988664,4.360828,2095.926,5.8246264,0.15380205,7.0214224,11.156372
23,4222.76,18.246721,59.166298,12.001592,6.095947,66827.89,15.463815,4.79944,1953.8871,6.930118,0.15375385,6.8845754,11.234925
24,4695.879,17.116026,61.733944,12.563528,5.0415845,62102.04,15.239892,4.557879,2267.2083,5.94559,0.1539132,6.900635,11.0116415
25,4736.709,17.038088,59.210327,14.661045,5.5605044,63433.508,15.035318,4.4305997,2292.365,5.950334,0.15371855,7.302098,11.048224
26,4575.5547,19.155357,59.948338,12.1946535,5.023829,60665.188,16.228691,4.3452606,2150.2124,5.888978,0.15385795,7.0427074,10.805841
27,4556.199,15.949501,63.620247,12.714436,4.4043493,59894.098,16.009388,4.23352,2130.8281,5.769699,0.15397334,7.221733,11.116864
28,4420.217,16.580374,63.15155,12.008903,4.589104,69550.99,15.02957,4.8460875,2088.7612,6.181077,0.15373768,6.855933,11.204843
29,4803.943,17.268572,62.69594,11.955453,4.878741,64929.18,15.229995,4.3641415,2294.166,5.8052073,0.15380722,6.9620523,11.134089
30,4307.588,19.018621,59.207714,12.48536,5.6873384,60562.87,16.584911,4.8535643,2005.2275,6.0111985,0.15389177,7.794638,11.208067
31,4307.449,15.946111,63.839745,12.356311,4.5073814,66542.74,14.995521,5.0648646,1986.1462,6.196744,0.15363717,7.212548,11.040035
32,4242.771,15.812562,64.90446,12.0374775,4.337095,59192.902,15.979252,4.5978127,1971.3173,6.4750395,0.15394454,7.4796677,10.993232
33,4323.609,15.845268,64.464165,11.903475,4.3530073,63669.832,14.739499,4.7808695,2062.775,6.22867,0.15381618,6.5414166,10.972308
34,4307.779,15.634292,64.87642,11.982737,4.300534,60138.637,15.91491,4.4779954,1998.6998,6.033696,0.1539921,7.10568,10.96068
35,4145.0815,15.385549,60.676025,15.653731,4.4584827,60492.273,17.25723,4.271243,1949.2308,5.84412,0.15385477,7.732753,11.1072235
36,4251.5786,16.098396,63.203773,13.103073,4.331699,58713.367,16.364426,4.2950997,1984.4762,6.3350906,0.15401766,6.794955,11.001963
37,4309.363,15.669108,64.235,12.328299,4.3491554,60664.03,15.57995,4.689057,2003.2274,6.5937295,0.15398754,6.8017673,10.946902
